Date,Value
18/11/2020,17.366189243338948
19/11/2020,17.636554800591522
20/11/2020,17.7521507371705
23/11/2020,17.79720841753344
24/11/2020,18.155740018596923
25/11/2020,18.727820246432152
26/11/2020,18.565209912482874
27/11/2020,18.310516728066865
30/11/2020,18.17729295349872
01/12/2020,17.98333362496087
02/12/2020,18.034270858561683
03/12/2020,18.03035086556057
04/12/2020,18.085207762024222
07/12/2020,18.239984495193127
08/12/2020,18.14398615469368
09/12/2020,18.33402749888151
10/12/2020,18.479005047425105
11/12/2020,18.31051520577329
14/12/2020,18.452557554296693
15/12/2020,18.40651661544312
16/12/2020,18.516229633748313
17/12/2020,18.663170635222098
18/12/2020,18.459413101445026
21/12/2020,18.159658838005207
22/12/2020,18.06561734470671
23/12/2020,18.02251700322788
24/12/2020,18.14202609694305
29/12/2020,18.16553648554878
30/12/2020,18.010758237266984
31/12/2020,17.877536341109547
04/01/2021,17.893209490244974
05/01/2021,17.765864193356016
06/01/2021,17.598354133019473
07/01/2021,17.98039534485796
08/01/2021,18.20765936898431
11/01/2021,18.218435265425413
12/01/2021,18.355576706370293
13/01/2021,18.349700172748864
14/01/2021,18.529943895930522
15/01/2021,18.82578088769914
18/01/2021,18.671007890746868
19/01/2021,18.74545443834562
20/01/2021,18.854189066832618
21/01/2021,19.06675947951969
22/01/2021,18.92178077649848
25/01/2021,18.94920843373723
27/01/2021,19.031495643421515
28/01/2021,18.65337336209101
29/01/2021,18.67492287490205
01/02/2021,18.326189893912645
02/02/2021,18.92765809824894
03/02/2021,19.303821191475514
04/02/2021,19.39198456133352
05/02/2021,19.685864268871292
08/02/2021,19.920966328934533
09/02/2021,19.719166144087644
10/02/2021,19.62316740477346
11/02/2021,19.540880610027976
12/02/2021,19.55949459244591
15/02/2021,19.819087608493383
16/02/2021,20.07378423826968
17/02/2021,20.079657365359946
18/02/2021,20.0835738826009
19/02/2021,19.770107626830402
22/02/2021,19.44292059501475
23/02/2021,19.333208520250615
24/02/2021,19.462516028834905
25/02/2021,19.730924598819747
26/02/2021,19.415494116561636
01/03/2021,19.52520833467136
02/03/2021,19.901371734546622
03/03/2021,19.965045418291442
04/03/2021,20.449943584017067
05/03/2021,20.628228008497686
08/03/2021,20.880964241065428
09/03/2021,21.00634951576324
10/03/2021,20.673288296970583
11/03/2021,20.575329178874902
12/03/2021,20.49892233477743
15/03/2021,20.467576215422646
16/03/2021,20.528311166412877
17/03/2021,20.516553514706274
18/03/2021,20.473453498496085
19/03/2021,20.377452835205602
22/03/2021,20.399002875966826
23/03/2021,20.318679816443204
24/03/2021,20.31867597398325
25/03/2021,20.320637512629403
26/03/2021,20.449945078360606
29/03/2021,20.543983812635062
30/03/2021,20.419576417801828
31/03/2021,20.40683897696936
01/04/2021,20.38333018835163
06/04/2021,20.592965298504012
07/04/2021,20.58708574390728
08/04/2021,20.853532781568635
09/04/2021,20.877046202820196
12/04/2021,20.965209211248304
13/04/2021,21.029859535314678
14/04/2021,20.90055580673495
15/04/2021,20.93582003929126
16/04/2021,20.890760045016044
19/04/2021,20.996556839638018
20/04/2021,20.80259550711385
21/04/2021,20.472472585638652
22/04/2021,20.620391474462195
23/04/2021,20.698759077257055
26/04/2021,20.86920738600108
27/04/2021,20.831981670483838
28/04/2021,21.025939200062716
29/04/2021,21.056311212135085
30/04/2021,20.921125964679494
03/05/2021,21.159166389868794
04/05/2021,21.3198219387367
05/05/2021,21.61369623486578
06/05/2021,21.078842090616945
07/05/2021,20.96912423757217
10/05/2021,21.178759399728374
11/05/2021,21.153288200750033
12/05/2021,20.79279939007354
13/05/2021,20.813708918419017
14/05/2021,21.087326577472158
17/05/2021,20.957031149809293
18/05/2021,21.04923773156463
19/05/2021,20.841774053329164
20/05/2021,21.043224411964164
21/05/2021,21.207595313761516
24/05/2021,21.335882307911078
25/05/2021,21.460161794779232
26/05/2021,21.482211791940735
27/05/2021,21.455149825894896
28/05/2021,21.612503885891556
31/05/2021,21.68266156470986
01/06/2021,21.432096481323242
02/06/2021,21.500251537177512
03/06/2021,21.69969737117302
04/06/2021,21.953266447108366
07/06/2021,21.574417423501792
08/06/2021,21.414059895975853
09/06/2021,21.369958620994332
10/06/2021,21.33989082713166
11/06/2021,21.1775275957689
15/06/2021,21.345905660797627
16/06/2021,21.538335338698037
17/06/2021,21.64457368644191
18/06/2021,21.530319766434687
21/06/2021,21.091335495214103
22/06/2021,21.47018244022376
23/06/2021,21.215611083371023
24/06/2021,20.975073317502925
25/06/2021,21.085317313951727
28/06/2021,20.908923921673704
29/06/2021,20.854801673620024
30/06/2021,21.06728151391103
01/07/2021,20.99512100774141
02/07/2021,20.989106118921114
05/07/2021,20.953022938494996
06/07/2021,21.023181554650996
07/07/2021,20.98108666050313
08/07/2021,21.051242930738375
09/07/2021,20.84878747677359
12/07/2021,21.066279050452692
13/07/2021,21.127415040159296
14/07/2021,21.065272506339973
15/07/2021,20.938991974435766
16/07/2021,20.800679571788827
19/07/2021,20.50401703458664
20/07/2021,20.325617570890604
21/07/2021,20.634309926230852
22/07/2021,20.822733604297348
23/07/2021,20.740549565471547
26/07/2021,20.799681432952283
27/07/2021,20.850794956923504
28/07/2021,20.78865339157988
29/07/2021,20.668385840411677
30/07/2021,20.78865440640087
02/08/2021,21.10737062006451
03/08/2021,21.12741782101061
04/08/2021,21.09534104517629
05/08/2021,21.195566830116565
06/08/2021,21.34991157391853
09/08/2021,21.630545517175324
10/08/2021,21.652592123374095
11/08/2021,21.796919211818675
12/08/2021,21.94524599677786
13/08/2021,22.091579143965497
